1,ONE PART BE MY LOVER,BONNIE RAITT,LUCK OF THE DRAW,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2,FOOL'S GAME,BONNIE RAITT,SILVER LINING,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
3,GNAWIN' ON IT,BONNIE RAITT,SILVER LINING,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
4,I CAN'T HELP YOU NOW,BONNIE RAITT,SILVER LINING,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
5,I NEED LOVE,BONNIE RAITT,FUNDAMENTAL,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
6,I'M ON YOUR SIDE,BONNIE RAITT,FUNDAMENTAL,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
7,LOVER'S WILL,BONNIE RAITT,FUNDAMENTAL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
8,THE FUNDAMENTAL THINGS,BONNIE RAITT,FUNDAMENTAL,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
9,CAN'T STOP FEELING,FRANZ FERDINAND,TONIGHT: FRANZ FERDINAND,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
10,KATHERINE KISS ME,FRANZ FERDINAND,TONIGHT: FRANZ FERDINAND,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes
11,THIS FIRE,FRANZ FERDINAND,FRANZ FERDINAND,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No
12,I'M YOUR VILLAIN,FRANZ FERDINAND,YOU COULD HAVE IT SO MUCH BETTER,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
13,THE FALLEN,FRANZ FERDINAND,YOU COULD HAVE IT SO MUCH BETTER,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
14,WALK AWAY,FRANZ FERDINAND,YOU COULD HAVE IT SO MUCH BETTER,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
15,WELL THAT WAS EASY,FRANZ FERDINAND,YOU COULD HAVE IT SO MUCH BETTER,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
16,WHAT YOU MEANT,FRANZ FERDINAND,YOU COULD HAVE IT SO MUCH BETTER,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No
17,ROUTE 66,CHUCK BERRY,ONE DOZEN BERRYS / JUKE BOX HITS,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No
18,SWEET LITTLE SIXTEEN,CHUCK BERRY,ONE DOZEN BERRYS / JUKE BOX HITS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
19,MEMPHIS TENNESSEE,CHUCK BERRY,GREATEST HITS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes
20,ROLL OVER BEETHOVEN,CHUCK BERRY,GREATEST HITS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
21,SCHOOL DAY (RING RING GOES THE BELL),CHUCK BERRY,GREATEST HITS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
22,THIRTY DAYS (TO COME BACK HOME),CHUCK BERRY,GREATEST HITS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
23,BACK IN THE USA,CHUCK BERRY,HIS BEST,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
24,NO PARTICULAR PLACE TO GO,CHUCK BERRY,HIS BEST,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
25,BLACK DOG,LED ZEPPELIN,REMASTERS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
26,IN THE EVENING,LED ZEPPELIN,REMASTERS,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
27,TRAMPLED UNDERFOOT,LED ZEPPELIN,REMASTERS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
28,YOUR TIME IS GONNA COME,LED ZEPPELIN,LED ZEPPELIN,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
29,GALLOWS POLE,LED ZEPPELIN,LED ZEPPELIN III,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
30,TANGERINE,LED ZEPPELIN,LED ZEPPELIN III,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
31,THAT'S THE WAY,LED ZEPPELIN,LED ZEPPELIN III,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
32,WHEN THE LEVEE BREAKS,LED ZEPPELIN,LED ZEPPELIN (IV),Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
33,BE BOP A LULA,JERRY LEE LEWIS,GREAT BALLS OF FIRE,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
34,CRAZY ARMS,JERRY LEE LEWIS,GREAT BALLS OF FIRE,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No
35,GOOD GOLLY MISS MOLLY,JERRY LEE LEWIS,GREAT BALLS OF FIRE,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
36,LEWIS BOOGIE,JERRY LEE LEWIS,GREAT BALLS OF FIRE,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
37,RELEASE ME,JERRY LEE LEWIS,GREAT BALLS OF FIRE,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
38,BREAK UP,JERRY LEE LEWIS,THE BEST OF JERRY LEE LEWIS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
39,DRINKIN' WINE SPO-DEE-O-DEE,JERRY LEE LEWIS,THE BEST OF JERRY LEE LEWIS,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
40,ONE MINUTE PAST ETERNITY,JERRY LEE LEWIS,THE BEST OF JERRY LEE LEWIS,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes
41,MORE THAN A FEELING (SINGLE VERSION),BOSTON,THEN '70S TOTALLY OLDIES 6,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
42,SPIRIT IN THE SKY,NORMAN GREENBAUM,THEN '70S TOTALLY OLDIES 6,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
43,DO YOU BELIEVE IN MAGIC?,LOVIN' SPOONFUL,REMEMBER...1965,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes
44,KEEP SEARCHIN',DEL SHANNON,REMEMBER...1965,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
